id,category,info,last_updated
6108,Pricing,Private room in Pimple Saudagar: ₹10998/month,2025-01-14
6109,Offers,10% discount for new customers,2025-02-03
6110,Pricing,Private room in Baner: ₹9953/month,2025-01-17
6111,Availability,2 Shared rooms available in Hinjawadi,2025-01-15
6112,Locations,"PGs available in Kharadi, Hinjawadi, Baner, Talwade, Pimple Saudagar",2025-01-07
6113,Locations,"PGs available in Kharadi, Talwade, Pimple Saudagar",2025-01-28
6114,Offers,Free first-week meals,2025-01-23
6115,Availability,2 Executive rooms available in Baner,2025-01-07
6116,Offers,₹2000 off for 6-month stays,2025-01-15
6117,Offers,10% discount for new customers,2025-01-12
6118,Offers,Free first-week meals,2025-01-23
6119,Locations,"PGs available in Kharadi, Talwade, Pimple Saudagar",2025-01-18
6120,Pricing,Shared room in Pimple Saudagar: ₹10494/month,2025-01-12
6121,Pricing,Executive room in Talwade: ₹13982/month,2025-01-31
6122,Availability,4 Executive rooms available in Baner,2025-01-04
6123,Pricing,Private room in Pimple Saudagar: ₹12172/month,2025-01-23
6124,Availability,3 Executive rooms available in Talwade,2025-02-02
6125,Pricing,Private room in Hinjawadi: ₹15143/month,2025-01-12
6126,Pricing,Private room in Talwade: ₹14017/month,2025-01-26
6127,Pricing,Shared room in Hinjawadi: ₹15073/month,2025-01-06
6128,Availability,2 Executive rooms available in Hinjawadi,2025-01-04
6129,Pricing,Shared room in Kharadi: ₹9650/month,2025-01-10
6130,Pricing,Private room in Talwade: ₹14272/month,2025-02-01
6131,Offers,Free first-week meals,2025-01-16
6132,Offers,10% discount for new customers,2025-01-19
6133,Locations,"PGs available in Kharadi, Pimple Saudagar, Talwade, Baner, Hinjawadi",2025-01-04
6134,Locations,"PGs available in Hinjawadi, Talwade",2025-01-30
6135,Availability,5 Shared rooms available in Pimple Saudagar,2025-01-14
6136,Locations,"PGs available in Talwade, Kharadi, Baner, Pimple Saudagar",2025-01-31
6137,Availability,4 Private rooms available in Hinjawadi,2025-01-22
6138,Offers,₹2000 off for 6-month stays,2025-01-26
6139,Pricing,Private room in Pimple Saudagar: ₹16750/month,2025-02-02
6140,Availability,8 Executive rooms available in Pimple Saudagar,2025-01-06
6141,Offers,10% discount for new customers,2025-01-25
6142,Pricing,Shared room in Hinjawadi: ₹13692/month,2025-01-13
6143,Availability,1 Private rooms available in Talwade,2025-02-02
6144,Availability,9 Private rooms available in Hinjawadi,2025-01-21
6145,Offers,Free first-week meals,2025-01-14
6146,Offers,Free first-week meals,2025-02-02
6147,Pricing,Shared room in Kharadi: ₹17720/month,2025-02-03
6148,Pricing,Executive room in Kharadi: ₹19144/month,2025-01-13
6149,Offers,10% discount for new customers,2025-01-08
6150,Locations,"PGs available in Hinjawadi, Kharadi",2025-01-23
6151,Offers,₹2000 off for 6-month stays,2025-01-29
6152,Pricing,Shared room in Kharadi: ₹11810/month,2025-01-11
6153,Availability,9 Executive rooms available in Talwade,2025-01-24
6154,Availability,1 Shared rooms available in Baner,2025-01-10
6155,Offers,Free first-week meals,2025-01-06
6156,Availability,6 Executive rooms available in Baner,2025-01-09
6157,Offers,₹2000 off for 6-month stays,2025-01-29
6158,Locations,"PGs available in Kharadi, Pimple Saudagar",2025-02-02
6159,Pricing,Executive room in Hinjawadi: ₹17428/month,2025-01-12
6160,Availability,10 Executive rooms available in Talwade,2025-01-20
6161,Availability,4 Shared rooms available in Kharadi,2025-01-28
6162,Offers,₹2000 off for 6-month stays,2025-01-04
6163,Pricing,Shared room in Hinjawadi: ₹8009/month,2025-01-04
6164,Offers,Free first-week meals,2025-01-26
6165,Locations,"PGs available in Kharadi, Hinjawadi, Pimple Saudagar",2025-01-23
6166,Pricing,Shared room in Baner: ₹16967/month,2025-01-27
6167,Locations,"PGs available in Hinjawadi, Kharadi, Baner",2025-01-24
6168,Locations,"PGs available in Kharadi, Baner",2025-01-05
6169,Availability,6 Shared rooms available in Talwade,2025-01-06
6170,Offers,Free first-week meals,2025-01-17
6171,Availability,8 Shared rooms available in Kharadi,2025-01-11
6172,Locations,"PGs available in Baner, Kharadi",2025-01-07
6173,Offers,₹2000 off for 6-month stays,2025-01-26
6174,Availability,7 Private rooms available in Hinjawadi,2025-01-19
6175,Offers,₹2000 off for 6-month stays,2025-01-13
6176,Availability,8 Shared rooms available in Hinjawadi,2025-01-20
6177,Locations,"PGs available in Talwade, Pimple Saudagar, Kharadi",2025-01-10
6178,Offers,Free first-week meals,2025-01-14
6179,Availability,6 Shared rooms available in Baner,2025-02-01
6180,Pricing,Private room in Kharadi: ₹17574/month,2025-02-01
6181,Locations,"PGs available in Kharadi, Pimple Saudagar, Hinjawadi, Baner",2025-01-25
6182,Offers,10% discount for new customers,2025-02-02
6183,Availability,3 Shared rooms available in Pimple Saudagar,2025-01-31
6184,Locations,"PGs available in Baner, Talwade, Hinjawadi",2025-01-18
6185,Offers,10% discount for new customers,2025-01-09
6186,Locations,"PGs available in Hinjawadi, Pimple Saudagar, Talwade, Baner, Kharadi",2025-01-12
6187,Pricing,Executive room in Baner: ₹9274/month,2025-01-07
6188,Availability,6 Private rooms available in Kharadi,2025-01-31
6189,Availability,6 Executive rooms available in Pimple Saudagar,2025-02-03
6190,Locations,"PGs available in Pimple Saudagar, Hinjawadi, Kharadi, Talwade",2025-01-19
6191,Availability,5 Private rooms available in Kharadi,2025-01-05
6192,Pricing,Shared room in Hinjawadi: ₹12111/month,2025-01-25
6193,Locations,"PGs available in Hinjawadi, Kharadi, Pimple Saudagar, Baner",2025-01-16
6194,Offers,Free first-week meals,2025-01-13
6195,Offers,Free first-week meals,2025-02-01
6196,Offers,10% discount for new customers,2025-01-30
6197,Availability,4 Private rooms available in Kharadi,2025-01-19
6198,Offers,₹2000 off for 6-month stays,2025-01-18
6199,Availability,2 Shared rooms available in Baner,2025-01-22
6200,Offers,Free first-week meals,2025-01-29
6201,Pricing,Shared room in Kharadi: ₹12466/month,2025-01-29
6202,Pricing,Shared room in Hinjawadi: ₹11397/month,2025-01-09
6203,Pricing,Shared room in Hinjawadi: ₹12080/month,2025-01-18
6204,Locations,"PGs available in Hinjawadi, Pimple Saudagar, Baner, Talwade",2025-01-13
6205,Pricing,Executive room in Baner: ₹19781/month,2025-01-06
6206,Availability,3 Executive rooms available in Pimple Saudagar,2025-01-04
6207,Locations,"PGs available in Talwade, Baner, Kharadi",2025-01-29
6208,Locations,"PGs available in Pimple Saudagar, Talwade, Baner, Hinjawadi",2025-01-19
6209,Locations,"PGs available in Pimple Saudagar, Kharadi, Talwade, Baner, Hinjawadi",2025-01-10
6210,Locations,"PGs available in Hinjawadi, Baner, Kharadi, Pimple Saudagar, Talwade",2025-01-14
6211,Offers,Free first-week meals,2025-01-26
6212,Availability,5 Shared rooms available in Kharadi,2025-01-18
6213,Locations,"PGs available in Kharadi, Baner",2025-01-27
6214,Availability,9 Shared rooms available in Talwade,2025-01-30
6215,Availability,9 Executive rooms available in Hinjawadi,2025-01-24
6216,Availability,2 Executive rooms available in Baner,2025-01-08
6217,Locations,"PGs available in Talwade, Baner, Kharadi, Hinjawadi, Pimple Saudagar",2025-01-18
6218,Locations,"PGs available in Pimple Saudagar, Hinjawadi",2025-01-25
6219,Offers,10% discount for new customers,2025-01-15
6220,Offers,₹2000 off for 6-month stays,2025-01-27
6221,Locations,"PGs available in Hinjawadi, Baner, Pimple Saudagar",2025-01-06
6222,Offers,10% discount for new customers,2025-01-26
6223,Availability,4 Shared rooms available in Hinjawadi,2025-01-14
6224,Locations,"PGs available in Pimple Saudagar, Hinjawadi, Talwade, Baner",2025-01-17
6225,Pricing,Shared room in Talwade: ₹15379/month,2025-01-17
6226,Offers,₹2000 off for 6-month stays,2025-01-29
6227,Locations,"PGs available in Pimple Saudagar, Baner, Kharadi",2025-01-30
6228,Offers,Free first-week meals,2025-01-18
6229,Availability,6 Executive rooms available in Pimple Saudagar,2025-01-20
6230,Pricing,Shared room in Hinjawadi: ₹18165/month,2025-01-08
6231,Locations,"PGs available in Talwade, Pimple Saudagar, Baner",2025-01-12
6232,Pricing,Private room in Hinjawadi: ₹10309/month,2025-01-20
6233,Offers,10% discount for new customers,2025-01-17
6234,Offers,Free first-week meals,2025-01-22
6235,Availability,1 Shared rooms available in Pimple Saudagar,2025-01-17
6236,Offers,Free first-week meals,2025-01-30
6237,Availability,3 Executive rooms available in Baner,2025-01-15
6238,Availability,6 Private rooms available in Pimple Saudagar,2025-01-19
6239,Availability,3 Shared rooms available in Hinjawadi,2025-01-29
6240,Availability,1 Executive rooms available in Pimple Saudagar,2025-01-24
6241,Pricing,Shared room in Pimple Saudagar: ₹8245/month,2025-02-01
6242,Pricing,Executive room in Hinjawadi: ₹10895/month,2025-01-16
6243,Pricing,Executive room in Kharadi: ₹12959/month,2025-01-06
6244,Locations,"PGs available in Baner, Talwade, Hinjawadi, Kharadi, Pimple Saudagar",2025-01-07
6245,Offers,₹2000 off for 6-month stays,2025-02-01
6246,Offers,₹2000 off for 6-month stays,2025-01-20
6247,Availability,4 Private rooms available in Pimple Saudagar,2025-01-23
6248,Pricing,Shared room in Baner: ₹18134/month,2025-01-18
6249,Locations,"PGs available in Kharadi, Talwade",2025-01-24
6250,Locations,"PGs available in Hinjawadi, Pimple Saudagar",2025-01-07
6251,Locations,"PGs available in Talwade, Hinjawadi, Kharadi, Pimple Saudagar",2025-01-24
6252,Locations,"PGs available in Talwade, Kharadi, Hinjawadi, Baner, Pimple Saudagar",2025-02-03
6253,Locations,"PGs available in Kharadi, Pimple Saudagar",2025-01-12
6254,Availability,5 Shared rooms available in Kharadi,2025-01-05
6255,Availability,9 Private rooms available in Pimple Saudagar,2025-01-06
6256,Availability,8 Private rooms available in Hinjawadi,2025-01-16
6257,Availability,8 Executive rooms available in Pimple Saudagar,2025-01-15
6258,Offers,Free first-week meals,2025-01-07
6259,Pricing,Private room in Kharadi: ₹13738/month,2025-01-05
6260,Availability,7 Private rooms available in Talwade,2025-01-20
6261,Offers,10% discount for new customers,2025-02-01
6262,Offers,10% discount for new customers,2025-01-10
6263,Locations,"PGs available in Talwade, Hinjawadi, Baner, Kharadi, Pimple Saudagar",2025-01-21
6264,Pricing,Executive room in Pimple Saudagar: ₹9448/month,2025-01-05
6265,Locations,"PGs available in Kharadi, Talwade, Pimple Saudagar",2025-01-17
6266,Offers,Free first-week meals,2025-01-17
6267,Locations,"PGs available in Pimple Saudagar, Talwade, Hinjawadi",2025-01-26
6268,Pricing,Shared room in Hinjawadi: ₹13462/month,2025-01-21
6269,Offers,Free first-week meals,2025-01-26
6270,Offers,10% discount for new customers,2025-01-14
6271,Pricing,Shared room in Hinjawadi: ₹9605/month,2025-01-10
6272,Pricing,Executive room in Pimple Saudagar: ₹11544/month,2025-01-21
6273,Availability,1 Shared rooms available in Kharadi,2025-01-19
6274,Pricing,Private room in Baner: ₹12563/month,2025-01-29
6275,Availability,4 Shared rooms available in Pimple Saudagar,2025-01-25
6276,Locations,"PGs available in Kharadi, Baner, Talwade",2025-02-02
6277,Availability,8 Private rooms available in Kharadi,2025-02-02
6278,Availability,6 Executive rooms available in Hinjawadi,2025-01-29
6279,Pricing,Private room in Pimple Saudagar: ₹11557/month,2025-01-05
6280,Availability,6 Executive rooms available in Talwade,2025-01-30
6281,Availability,5 Executive rooms available in Hinjawadi,2025-01-21
6282,Offers,Free first-week meals,2025-01-27
6283,Offers,10% discount for new customers,2025-01-31
6284,Pricing,Shared room in Talwade: ₹12558/month,2025-01-24
6285,Locations,"PGs available in Baner, Talwade, Kharadi, Hinjawadi, Pimple Saudagar",2025-01-17
6286,Availability,4 Private rooms available in Hinjawadi,2025-01-17
6287,Offers,Free first-week meals,2025-01-18
6288,Availability,1 Private rooms available in Pimple Saudagar,2025-01-09
6289,Pricing,Shared room in Talwade: ₹14512/month,2025-02-03
6290,Availability,4 Shared rooms available in Baner,2025-01-12
6291,Pricing,Executive room in Kharadi: ₹19791/month,2025-01-27
6292,Offers,10% discount for new customers,2025-01-31
6293,Pricing,Private room in Kharadi: ₹10894/month,2025-01-18
6294,Locations,"PGs available in Hinjawadi, Talwade, Baner",2025-01-24
6295,Locations,"PGs available in Kharadi, Baner, Talwade, Hinjawadi, Pimple Saudagar",2025-01-22
6296,Locations,"PGs available in Kharadi, Baner, Hinjawadi, Pimple Saudagar, Talwade",2025-01-18
6297,Locations,"PGs available in Baner, Pimple Saudagar, Kharadi, Talwade",2025-02-03
6298,Locations,"PGs available in Hinjawadi, Kharadi",2025-01-08
6299,Offers,₹2000 off for 6-month stays,2025-01-20
6300,Availability,3 Executive rooms available in Talwade,2025-02-02
6301,Offers,10% discount for new customers,2025-01-05
6302,Locations,"PGs available in Pimple Saudagar, Baner, Hinjawadi",2025-01-28
6303,Availability,10 Private rooms available in Hinjawadi,2025-01-31
6304,Offers,Free first-week meals,2025-01-04
6305,Locations,"PGs available in Pimple Saudagar, Hinjawadi, Talwade, Baner, Kharadi",2025-01-04
6306,Pricing,Private room in Pimple Saudagar: ₹13174/month,2025-01-06
6307,Locations,"PGs available in Pimple Saudagar, Hinjawadi, Baner, Kharadi, Talwade",2025-01-11
6308,Pricing,Executive room in Talwade: ₹11850/month,2025-01-12
6309,Availability,4 Shared rooms available in Talwade,2025-01-07
6310,Pricing,Private room in Pimple Saudagar: ₹18242/month,2025-01-13
6311,Offers,Free first-week meals,2025-01-17
6312,Locations,"PGs available in Talwade, Pimple Saudagar, Baner, Hinjawadi",2025-01-30
6313,Locations,"PGs available in Pimple Saudagar, Talwade, Kharadi",2025-02-02
6314,Availability,9 Shared rooms available in Baner,2025-01-12
6315,Locations,"PGs available in Kharadi, Pimple Saudagar, Hinjawadi",2025-01-14
6316,Offers,Free first-week meals,2025-01-29
6317,Availability,3 Private rooms available in Hinjawadi,2025-01-27
6318,Locations,"PGs available in Kharadi, Pimple Saudagar",2025-01-24
6319,Offers,10% discount for new customers,2025-01-18
6320,Offers,₹2000 off for 6-month stays,2025-01-16
6321,Availability,8 Shared rooms available in Kharadi,2025-01-31
6322,Pricing,Shared room in Kharadi: ₹12568/month,2025-01-19
6323,Offers,₹2000 off for 6-month stays,2025-02-03
6324,Locations,"PGs available in Pimple Saudagar, Kharadi, Talwade, Hinjawadi, Baner",2025-01-26
6325,Pricing,Private room in Baner: ₹17594/month,2025-01-12
6326,Availability,9 Private rooms available in Hinjawadi,2025-01-26
6327,Availability,3 Shared rooms available in Talwade,2025-01-28
6328,Pricing,Executive room in Pimple Saudagar: ₹9332/month,2025-01-16
6329,Offers,Free first-week meals,2025-01-23
6330,Locations,"PGs available in Pimple Saudagar, Talwade, Hinjawadi, Baner",2025-01-23
6331,Offers,₹2000 off for 6-month stays,2025-01-31
6332,Pricing,Private room in Pimple Saudagar: ₹18114/month,2025-01-11
6333,Offers,Free first-week meals,2025-02-03
6334,Pricing,Private room in Pimple Saudagar: ₹10711/month,2025-01-10
6335,Locations,"PGs available in Kharadi, Baner, Hinjawadi, Talwade",2025-01-09
6336,Locations,"PGs available in Talwade, Pimple Saudagar, Baner, Hinjawadi, Kharadi",2025-01-14
6337,Locations,"PGs available in Pimple Saudagar, Kharadi, Baner, Hinjawadi",2025-01-23
6338,Offers,₹2000 off for 6-month stays,2025-01-29
6339,Offers,₹2000 off for 6-month stays,2025-01-20
6340,Offers,10% discount for new customers,2025-01-05
6341,Pricing,Private room in Kharadi: ₹13700/month,2025-01-12
6342,Availability,6 Shared rooms available in Pimple Saudagar,2025-01-27
6343,Pricing,Shared room in Pimple Saudagar: ₹10501/month,2025-01-04
6344,Offers,₹2000 off for 6-month stays,2025-01-28
6345,Availability,1 Shared rooms available in Baner,2025-01-09
6346,Locations,"PGs available in Hinjawadi, Kharadi, Talwade",2025-02-01
6347,Availability,7 Executive rooms available in Pimple Saudagar,2025-01-10
6348,Locations,"PGs available in Baner, Pimple Saudagar, Kharadi, Talwade",2025-01-12
6349,Pricing,Shared room in Hinjawadi: ₹16781/month,2025-01-05
6350,Locations,"PGs available in Pimple Saudagar, Talwade, Kharadi, Baner",2025-01-23
6351,Offers,Free first-week meals,2025-01-15
6352,Availability,3 Shared rooms available in Talwade,2025-01-13
6353,Offers,10% discount for new customers,2025-01-07
6354,Locations,"PGs available in Kharadi, Baner",2025-02-02
6355,Locations,"PGs available in Hinjawadi, Baner, Talwade, Kharadi",2025-01-07
6356,Pricing,Private room in Kharadi: ₹19106/month,2025-01-19
6357,Pricing,Executive room in Talwade: ₹11324/month,2025-01-30
6358,Availability,4 Executive rooms available in Baner,2025-01-18
6359,Pricing,Executive room in Talwade: ₹8394/month,2025-02-02
6360,Locations,"PGs available in Baner, Kharadi, Pimple Saudagar, Talwade",2025-01-08
6361,Locations,"PGs available in Hinjawadi, Talwade, Kharadi, Baner, Pimple Saudagar",2025-02-03
6362,Pricing,Private room in Kharadi: ₹15484/month,2025-01-19
6363,Locations,"PGs available in Hinjawadi, Kharadi, Talwade, Pimple Saudagar",2025-01-07
6364,Pricing,Shared room in Baner: ₹16620/month,2025-01-21
6365,Locations,"PGs available in Kharadi, Pimple Saudagar, Baner",2025-01-31
6366,Pricing,Private room in Hinjawadi: ₹13704/month,2025-01-17
6367,Availability,4 Shared rooms available in Kharadi,2025-01-28
6368,Locations,"PGs available in Hinjawadi, Kharadi, Talwade, Pimple Saudagar, Baner",2025-01-26
6369,Locations,"PGs available in Baner, Hinjawadi, Pimple Saudagar, Kharadi",2025-01-05
6370,Availability,4 Executive rooms available in Talwade,2025-01-07
6371,Locations,"PGs available in Hinjawadi, Kharadi, Talwade",2025-01-31
6372,Offers,10% discount for new customers,2025-02-01
6373,Availability,4 Private rooms available in Kharadi,2025-01-20
6374,Locations,"PGs available in Pimple Saudagar, Kharadi, Baner, Hinjawadi",2025-01-15
6375,Availability,4 Executive rooms available in Hinjawadi,2025-01-13
6376,Pricing,Private room in Pimple Saudagar: ₹9172/month,2025-02-02
6377,Pricing,Executive room in Hinjawadi: ₹15766/month,2025-01-13
6378,Offers,Free first-week meals,2025-01-29
6379,Availability,2 Executive rooms available in Hinjawadi,2025-01-13
6380,Pricing,Shared room in Baner: ₹12334/month,2025-01-25
6381,Availability,5 Executive rooms available in Baner,2025-01-08
6382,Pricing,Shared room in Baner: ₹12368/month,2025-01-14
6383,Offers,10% discount for new customers,2025-01-16
6384,Pricing,Shared room in Pimple Saudagar: ₹18112/month,2025-01-30
6385,Pricing,Shared room in Hinjawadi: ₹13137/month,2025-01-12
6386,Offers,10% discount for new customers,2025-01-22
6387,Offers,Free first-week meals,2025-01-27
6388,Locations,"PGs available in Kharadi, Baner",2025-01-11
6389,Availability,9 Executive rooms available in Pimple Saudagar,2025-01-30
6390,Pricing,Shared room in Talwade: ₹10330/month,2025-01-20
6391,Availability,6 Private rooms available in Pimple Saudagar,2025-01-12
6392,Availability,4 Executive rooms available in Pimple Saudagar,2025-01-28
6393,Offers,₹2000 off for 6-month stays,2025-01-19
6394,Pricing,Shared room in Kharadi: ₹12469/month,2025-01-14
6395,Offers,10% discount for new customers,2025-01-05
6396,Availability,7 Executive rooms available in Baner,2025-01-14
6397,Locations,"PGs available in Baner, Hinjawadi, Kharadi, Talwade",2025-02-02
6398,Offers,10% discount for new customers,2025-01-15
6399,Locations,"PGs available in Talwade, Pimple Saudagar",2025-01-27
6400,Availability,10 Executive rooms available in Pimple Saudagar,2025-01-16
6401,Locations,"PGs available in Talwade, Pimple Saudagar, Hinjawadi, Baner",2025-02-01
6402,Locations,"PGs available in Baner, Kharadi, Hinjawadi, Pimple Saudagar, Talwade",2025-01-09
6403,Availability,8 Executive rooms available in Hinjawadi,2025-02-02
6404,Pricing,Shared room in Hinjawadi: ₹9532/month,2025-01-20
6405,Availability,4 Shared rooms available in Hinjawadi,2025-01-14
6406,Locations,"PGs available in Kharadi, Hinjawadi, Baner, Talwade",2025-01-16
6407,Availability,9 Executive rooms available in Pimple Saudagar,2025-01-17
6408,Availability,1 Shared rooms available in Hinjawadi,2025-01-17
6409,Availability,1 Executive rooms available in Hinjawadi,2025-01-27
6410,Pricing,Private room in Talwade: ₹16315/month,2025-01-19
6411,Offers,₹2000 off for 6-month stays,2025-01-12
6412,Offers,Free first-week meals,2025-01-04
6413,Availability,10 Executive rooms available in Pimple Saudagar,2025-01-29
6414,Availability,9 Shared rooms available in Pimple Saudagar,2025-01-10
6415,Offers,Free first-week meals,2025-01-29
6416,Offers,10% discount for new customers,2025-01-14
6417,Availability,4 Private rooms available in Baner,2025-01-18
6418,Locations,"PGs available in Pimple Saudagar, Kharadi, Talwade, Baner",2025-01-23
6419,Offers,Free first-week meals,2025-01-13
6420,Pricing,Shared room in Pimple Saudagar: ₹11441/month,2025-01-06
6421,Availability,2 Shared rooms available in Baner,2025-01-12
6422,Availability,7 Shared rooms available in Hinjawadi,2025-01-06
6423,Offers,Free first-week meals,2025-01-24
6424,Pricing,Private room in Pimple Saudagar: ₹13683/month,2025-01-22
6425,Pricing,Shared room in Hinjawadi: ₹15862/month,2025-01-05
6426,Pricing,Shared room in Baner: ₹12000/month,2025-01-20
6427,Offers,Free first-week meals,2025-01-14
6428,Availability,6 Shared rooms available in Hinjawadi,2025-02-02
6429,Offers,₹2000 off for 6-month stays,2025-01-11
6430,Pricing,Shared room in Hinjawadi: ₹8215/month,2025-01-29
6431,Pricing,Executive room in Talwade: ₹15488/month,2025-01-10
6432,Pricing,Executive room in Hinjawadi: ₹19295/month,2025-01-08
6433,Pricing,Private room in Talwade: ₹19636/month,2025-01-15
6434,Locations,"PGs available in Pimple Saudagar, Baner, Kharadi, Talwade, Hinjawadi",2025-01-12
6435,Offers,₹2000 off for 6-month stays,2025-02-03
6436,Offers,Free first-week meals,2025-01-06
6437,Availability,7 Private rooms available in Hinjawadi,2025-01-20
6438,Offers,Free first-week meals,2025-01-17
6439,Offers,₹2000 off for 6-month stays,2025-01-28
6440,Locations,"PGs available in Pimple Saudagar, Hinjawadi, Talwade, Kharadi, Baner",2025-01-15
6441,Offers,Free first-week meals,2025-02-02
6442,Locations,"PGs available in Kharadi, Hinjawadi, Baner",2025-01-05
6443,Pricing,Shared room in Pimple Saudagar: ₹10002/month,2025-01-30
6444,Offers,Free first-week meals,2025-01-17
6445,Offers,10% discount for new customers,2025-01-21
6446,Pricing,Private room in Talwade: ₹19781/month,2025-01-14
6447,Locations,"PGs available in Talwade, Baner, Hinjawadi, Kharadi",2025-01-12
6448,Offers,Free first-week meals,2025-01-13
6449,Availability,5 Shared rooms available in Talwade,2025-02-01
6450,Offers,₹2000 off for 6-month stays,2025-01-21
6451,Offers,Free first-week meals,2025-01-07
6452,Locations,"PGs available in Hinjawadi, Baner, Talwade",2025-01-29
6453,Availability,6 Private rooms available in Pimple Saudagar,2025-01-29
6454,Pricing,Executive room in Talwade: ₹10771/month,2025-01-08
6455,Locations,"PGs available in Pimple Saudagar, Hinjawadi, Kharadi",2025-01-23
6456,Locations,"PGs available in Talwade, Hinjawadi, Kharadi, Baner",2025-01-10
6457,Locations,"PGs available in Hinjawadi, Pimple Saudagar, Talwade, Baner",2025-01-16
6458,Locations,"PGs available in Pimple Saudagar, Baner, Talwade, Hinjawadi, Kharadi",2025-01-05
6459,Availability,8 Shared rooms available in Kharadi,2025-01-11
6460,Pricing,Private room in Hinjawadi: ₹12339/month,2025-02-01
6461,Pricing,Shared room in Kharadi: ₹16561/month,2025-01-27
6462,Offers,Free first-week meals,2025-01-30
6463,Availability,4 Shared rooms available in Baner,2025-01-29
6464,Locations,"PGs available in Talwade, Hinjawadi",2025-01-27
6465,Pricing,Private room in Talwade: ₹13743/month,2025-02-01
6466,Locations,"PGs available in Kharadi, Pimple Saudagar, Baner, Hinjawadi",2025-01-21
6467,Pricing,Executive room in Talwade: ₹10808/month,2025-01-10
6468,Pricing,Private room in Kharadi: ₹13321/month,2025-01-27
6469,Pricing,Shared room in Baner: ₹19808/month,2025-01-12
6470,Offers,₹2000 off for 6-month stays,2025-01-24
6471,Offers,10% discount for new customers,2025-01-23
6472,Pricing,Executive room in Baner: ₹11380/month,2025-01-16
6473,Pricing,Private room in Kharadi: ₹15524/month,2025-01-22
6474,Availability,3 Executive rooms available in Baner,2025-01-04
6475,Availability,7 Shared rooms available in Hinjawadi,2025-01-18
6476,Availability,3 Shared rooms available in Talwade,2025-01-23
6477,Locations,"PGs available in Baner, Kharadi, Talwade, Pimple Saudagar",2025-01-28
6478,Locations,"PGs available in Kharadi, Baner, Pimple Saudagar",2025-01-10
6479,Offers,10% discount for new customers,2025-01-24
6480,Availability,10 Shared rooms available in Kharadi,2025-01-04
6481,Availability,7 Shared rooms available in Hinjawadi,2025-01-22
6482,Pricing,Private room in Kharadi: ₹8247/month,2025-01-05
6483,Availability,6 Executive rooms available in Talwade,2025-01-08
6484,Locations,"PGs available in Pimple Saudagar, Kharadi, Hinjawadi, Talwade, Baner",2025-02-03
6485,Locations,"PGs available in Kharadi, Pimple Saudagar, Hinjawadi, Baner, Talwade",2025-01-11
6486,Offers,Free first-week meals,2025-01-12
6487,Availability,6 Executive rooms available in Talwade,2025-01-20
6488,Offers,10% discount for new customers,2025-01-08
6489,Pricing,Shared room in Kharadi: ₹12617/month,2025-01-28
6490,Locations,"PGs available in Baner, Pimple Saudagar, Talwade, Hinjawadi",2025-01-25
6491,Offers,Free first-week meals,2025-01-22
6492,Locations,"PGs available in Talwade, Pimple Saudagar, Hinjawadi, Baner",2025-01-22
6493,Offers,₹2000 off for 6-month stays,2025-01-27
6494,Locations,"PGs available in Kharadi, Pimple Saudagar",2025-01-27
6495,Availability,2 Executive rooms available in Talwade,2025-01-13
6496,Offers,Free first-week meals,2025-01-07
6497,Offers,Free first-week meals,2025-01-18
6498,Offers,10% discount for new customers,2025-01-15
6499,Availability,5 Executive rooms available in Baner,2025-01-27
6500,Availability,6 Executive rooms available in Talwade,2025-01-08
6501,Pricing,Shared room in Baner: ₹10930/month,2025-01-07
6502,Locations,"PGs available in Pimple Saudagar, Talwade, Baner, Hinjawadi, Kharadi",2025-01-07
6503,Availability,3 Shared rooms available in Talwade,2025-01-24
6504,Locations,"PGs available in Kharadi, Baner",2025-02-01
6505,Offers,₹2000 off for 6-month stays,2025-01-29
6506,Pricing,Shared room in Talwade: ₹19488/month,2025-01-08
6507,Availability,5 Executive rooms available in Baner,2025-01-11
6508,Pricing,Executive room in Talwade: ₹18102/month,2025-01-11
6509,Availability,7 Private rooms available in Baner,2025-01-24
6510,Pricing,Private room in Talwade: ₹8418/month,2025-01-23
6511,Pricing,Executive room in Baner: ₹10509/month,2025-01-04
6512,Locations,"PGs available in Baner, Pimple Saudagar, Hinjawadi, Kharadi",2025-01-08
6513,Pricing,Executive room in Hinjawadi: ₹13452/month,2025-01-04
6514,Availability,2 Private rooms available in Pimple Saudagar,2025-02-02
6515,Locations,"PGs available in Hinjawadi, Pimple Saudagar",2025-01-05
6516,Availability,1 Private rooms available in Pimple Saudagar,2025-02-03
6517,Availability,8 Executive rooms available in Pimple Saudagar,2025-01-28
6518,Pricing,Private room in Hinjawadi: ₹10220/month,2025-01-21
6519,Locations,"PGs available in Talwade, Kharadi, Hinjawadi",2025-02-01
6520,Offers,Free first-week meals,2025-01-26
6521,Availability,7 Executive rooms available in Talwade,2025-02-03
6522,Availability,4 Private rooms available in Talwade,2025-02-02
6523,Pricing,Private room in Kharadi: ₹8842/month,2025-01-16
6524,Offers,₹2000 off for 6-month stays,2025-01-31
6525,Offers,₹2000 off for 6-month stays,2025-01-19
6526,Pricing,Private room in Kharadi: ₹15589/month,2025-01-05
6527,Availability,1 Shared rooms available in Hinjawadi,2025-01-04
6528,Availability,4 Private rooms available in Hinjawadi,2025-01-12
6529,Availability,8 Executive rooms available in Talwade,2025-01-07
6530,Offers,Free first-week meals,2025-01-12
6531,Availability,10 Shared rooms available in Baner,2025-01-09
